SAMPLEID,PROJECTCOD,SAMPLETYPE,X,Y,Z,ZONE,AnomalyID,StmNo,As_40PNB_p,Co_40PNB_p,Cu_40PNB_p,Cu_40U6D_p,Ni_40PNB_p,Pb_40PNB_p,Sn_40ZZZ_p,Zn_40PNB_p,DLAT_2020,DLONG_2020
PM401900,KIMBERLEY,STMSD,313040,7946867,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.55,127.22
PM401901,KIMBERLEY,STMSD,313668,7947057,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.55,127.23
PM401902,KIMBERLEY,STMSD,314352,7947238,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.55,127.24
PM401903,KIMBERLEY,STMSD,309302,7946220,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.56,127.19
PM401904,KIMBERLEY,STMSD,309505,7946045,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.56,127.19
PM401905,KIMBERLEY,STMSD,310146,7945941,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.56,127.2
PM401906,KIMBERLEY,STMSD,308625,7945561,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.57,127.18
PM401907,KIMBERLEY,STMSD,308449,7945248,0,AMG84-52,,1,-9999,-9999,10,0,6,-10,-9999,-10,-18.57,127.18
PM401908,KIMBERLEY,STMSD,310620,7945215,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.57,127.2
PM401909,KIMBERLEY,STMSD,310687,7944910,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.57,127.2
PM401910,KIMBERLEY,STMSD,310359,7944269,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.58,127.2
PM401911,KIMBERLEY,STMSD,309611,7943959,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.58,127.19
PM401912,KIMBERLEY,STMSD,309067,7944566,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.57,127.19
PM401913,KIMBERLEY,STMSD,308571,7944135,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.58,127.18
PM401914,KIMBERLEY,STMSD,308407,7944894,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.57,127.18
PM401915,KIMBERLEY,STMSD,307891,7945196,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.57,127.18
PM401916,KIMBERLEY,STMSD,307281,7944761,0,AMG84-52,,2,-9999,-9999,10,0,6,-10,-9999,-10,-18.57,127.17
PM401917,KIMBERLEY,STMSD,307228,7945066,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.57,127.17
PM401918,KIMBERLEY,STMSD,306284,7945311,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.57,127.16
